Season,RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2018,161,John Henson,MIL,76,25.9,0.582,14.8,10.9,14.2,9,21.5,15.3,15.78,152.3,5.1
2018,162,Bam Adebayo,MIA,69,19.8,0.57,17.2,11.3,15.4,9.7,21.6,15.6,15.74,104.9,3.5
2018,163,Lauri Markkanen,CHI,68,29.7,0.552,7.2,7.6,20.5,4,23.7,13.5,15.68,126,4.2
2018,164,Shaquille Harrison,PHX,23,16.7,0.54,25.3,10.1,18.3,2.5,14.7,8.5,15.67,26.8,0.9
2018,165,Joakim Noah,NY,7,5.7,0.51,20.2,20.2,17.1,16.7,22.1,19.4,15.63,3,0.1
2018,166,Evan Fournier,ORL,57,32.2,0.577,14.5,8.3,22.2,1.4,9.5,5.4,15.61,140.1,4.7
2018,167,Omri Casspi,GS,53,14,0.632,15.7,11.4,15.4,4.9,24,15.1,15.56,0,0
2018,168,Ed Davis,POR,78,18.9,0.607,9,14.8,11.5,13.7,28.8,21.3,15.55,88.8,3
2018,169,Ish Smith,DET,82,24.9,0.525,27.3,8.2,21.4,1.4,10.9,6.1,15.5,137.1,4.6
2018,170,Mike Conley,MEM,12,31.1,0.52,18.6,6.8,25.4,0,8.6,4.2,15.48,25,0.8
2018,171,Taj Gibson,MIN,82,33.3,0.61,9.8,8.8,14,8.1,16.7,12.3,15.45,160.9,5.4
2018,172,Shabazz Muhammad,MIL,43,9.7,0.51,6.1,2.6,27.2,6.3,14.8,10.5,15.44,30.8,1
2018,172,Shabazz Muhammad,MIN,43,9.7,0.51,6.1,2.6,27.2,6.3,14.8,10.5,15.44,30.8,1
2018,173,Jahlil Okafor,BKN,28,12.6,0.584,6.5,11.4,19.4,6.3,19.4,12.8,15.43,25.4,0.8
2018,173,Jahlil Okafor,PHI,28,12.6,0.584,6.5,11.4,19.4,6.3,19.4,12.8,15.43,25.4,0.8
2018,,Ricky Rubio,UTAH,77,29.3,0.537,26.4,13.3,23.2,2.2,15.3,8.8,15.43,148.9,5
2018,175,D.J. Augustin,ORL,75,23.5,0.615,27.8,11.9,19,1.9,8.2,5,15.4,115.6,3.9
2018,176,Ivica Zubac,LAL,43,9.5,0.557,12.8,13.3,16.9,11.8,20.1,16,15.38,29.2,1
2018,177,Tomas Satoransky,WSH,73,22.5,0.615,36,10.4,14.8,5,11.1,8,15.35,119,4
2018,178,D'Angelo Russell,BKN,48,25.7,0.509,22.1,13.1,30.6,2.6,13.8,8.1,15.31,79.3,2.6
2018,179,Jayson Tatum,BOS,80,30.5,0.586,10.8,9.6,18.3,2.3,15.6,9,15.29,174.5,5.8
2018,180,Rajon Rondo,NO,65,26.2,0.522,44.5,12.6,19.2,2,14.3,8.4,15.28,108.9,3.6
2018,181,Eric Gordon,HOU,69,31.2,0.578,11.3,9.6,23.3,1.3,7.5,4.4,15.22,151.8,5.1
2018,182,Ekpe Udoh,UTAH,63,12.9,0.56,24.4,9.2,9.2,9.6,11.4,10.5,15.19,55.5,1.9
2018,183,Troy Williams,HOU,21,14.6,0.544,10.2,12.1,27.4,8,14.8,11.4,15.18,21.4,0.7
2018,183,Troy Williams,NY,21,14.6,0.544,10.2,12.1,27.4,8,14.8,11.4,15.18,21.4,0.7
2018,184,Terry Rozier,BOS,80,25.9,0.52,19.7,6.8,20.1,3.4,16.3,9.9,15.12,127.2,4.2
2018,185,Dejounte Murray,SA,81,21.5,0.485,22.2,12.9,20.8,7,22.4,14.6,15.09,106.5,3.6
2018,,Dwyane Wade,CLE,67,22.9,0.5,20.1,12.4,23.8,3.7,14.6,9.2,15.09,105.1,3.5
2018,,Dwyane Wade,MIA,67,22.9,0.5,20.1,12.4,23.8,3.7,14.6,9.2,15.09,105.1,3.5
2018,187,Ersan Ilyasova,ATL,69,25.1,0.558,10.8,8.6,16.9,7.6,18.1,12.9,14.94,88.8,3
2018,187,Ersan Ilyasova,PHI,69,25.1,0.558,10.8,8.6,16.9,7.6,18.1,12.9,14.94,88.8,3
2018,188,Trevor Booker,IND,68,17,0.557,15.6,11.2,15.6,0,0,0,14.91,58.9,2
2018,188,Trevor Booker,BKN,68,17,0.557,15.6,11.2,15.6,0,0,0,14.91,58.9,2
2018,188,Trevor Booker,PHI,68,17,0.557,15.6,11.2,15.6,0,0,0,14.91,58.9,2
2018,189,Amir Johnson,PHI,74,15.8,0.575,25.1,11.7,13,11.8,18.4,15.2,14.9,75.1,2.5
2018,190,Thaddeus Young,IND,81,32.2,0.528,13.1,9,16.5,8,14.1,11.1,14.83,129.7,4.3
2018,191,Kevon Looney,GS,66,13.8,0.588,14,10.3,11.7,11,15.2,13.2,14.82,58.6,2
2018,192,Jeff Green,CLE,78,23.4,0.587,11.1,8.4,18,3.7,11.2,7.5,14.8,117.3,3.9
2018,193,Robin Lopez,CHI,64,26.4,0.552,13.5,11.7,19.6,8.2,10.3,9.2,14.77,105.2,3.5
2018,194,Serge Ibaka,TOR,76,27.5,0.574,6.3,9.1,18,4.3,21,12.8,14.72,100.6,3.4
2018,195,Marcin Gortat,WSH,82,25.3,0.546,17.1,11.2,15.2,9.9,24,17,14.7,127,4.2
2018,196,Gorgui Dieng,MIN,79,16.9,0.543,12.6,10.5,15.7,9.1,22.2,15.6,14.69,81.4,2.7
2018,197,Zach LaVine,CHI,24,27.3,0.499,13.9,8.3,28.4,1.4,14.4,7.7,14.65,35.8,1.2
2018,198,Kris Dunn,CHI,52,29.3,0.488,26.4,12.8,25.2,1.6,14.4,7.8,14.58,81.6,2.7
2018,199,Marcus Morris,BOS,54,26.7,0.541,8.8,8,21.6,3.3,18.4,11,14.57,66,2.2
2018,200,Pascal Siakam,TOR,81,20.7,0.549,20.9,8.8,15.6,5.4,18.6,12.1,14.54,76.2,2.5
2018,201,Kent Bazemore,ATL,65,27.5,0.547,19.8,13.7,22.1,1.6,13.9,7.7,14.51,107,3.6
2018,202,Tim Hardaway Jr.,NY,57,33.1,0.533,13.1,7.8,23,1.9,11.3,6.6,14.48,112.1,3.7
2018,203,Nicolas Batum,CHA,64,31,0.523,29.4,11,19.1,3.1,13.8,8.4,14.45,116.8,3.9
2018,204,Frank Kaminsky,CHA,79,23.2,0.545,12.9,6.6,19.7,2.7,14.5,8.5,14.42,79.9,2.7
2018,,Joe Ingles,UTAH,82,31.5,0.623,30,12.2,16.5,1.1,13.9,7.6,14.42,150.8,5
2018,206,Mike Muscala,ATL,53,20,0.597,11.8,9.7,14.9,5.9,18.3,12.1,14.39,45.7,1.5
2018,207,Rodney Hood,CLE,60,26.9,0.546,9.8,7.2,17.2,1.6,9.9,5.8,14.38,93.6,3.1
2018,207,Rodney Hood,UTAH,60,26.9,0.546,9.8,7.2,17.2,1.6,9.9,5.8,14.38,93.6,3.1
2018,208,Skal Labissiere,SAC,60,20.7,0.513,11,11.1,20.1,8.7,18.1,13.2,14.33,52.5,1.7
2018,209,DeMarre Carroll,BKN,73,29.9,0.55,12.9,9,18.9,5.1,18.4,11.7,14.31,124,4.1
2018,,Malcolm Brogdon,MIL,48,29.9,0.578,20,8.7,18.5,1.9,10.8,6.4,14.31,70.9,2.4
2018,211,Jerian Grant,CHI,74,22.8,0.528,33.6,8.8,18.6,1.9,9.3,5.4,14.3,83.1,2.8
2018,,Caris LeVert,BKN,71,26.3,0.525,23.6,12.1,22.6,3,11.9,7.4,14.3,105.7,3.5
2018,213,Tarik Black,HOU,51,10.5,0.582,6.4,17.3,14.4,13.3,20.8,17.1,14.29,22.3,0.7
2018,214,Tyson Chandler,PHX,46,25,0.658,15.6,17.4,10.3,12.2,26.8,19.4,14.26,62.9,2.1
2018,215,Kyle Kuzma,LAL,77,31.2,0.549,10,9.9,21.3,3.9,17.4,10.7,14.22,97.3,3.2
2018,216,Marco Belinelli,ATL,80,24.3,0.581,13.7,8.7,20.3,1.1,7.3,4.3,14.2,107.4,3.6
2018,216,Marco Belinelli,PHI,80,24.3,0.581,13.7,8.7,20.3,1.1,7.3,4.3,14.2,107.4,3.6
2018,217,Shabazz Napier,POR,74,20.7,0.544,18,10.8,19.2,1.9,10.1,6,14.18,72.9,2.4
2018,218,Bismack Biyombo,ORL,82,18.2,0.556,11.6,14.7,14,10.5,24,17.2,14.15,79.2,2.6
2018,219,Davis Bertans,SA,77,14.1,0.588,14.9,7.2,16.9,1.8,13.9,7.8,14.13,57.2,1.9
2018,220,Gerald Green,HOU,41,22.7,0.566,5,6.3,20.6,1.8,14.2,8.1,14.1,50,1.7
2018,,Tyus Jones,MIN,82,17.9,0.572,35.4,9,13.8,1.2,9.2,5.2,14.1,67.8,2.3
2018,222,Cameron Payne,CHI,25,23.3,0.498,30.5,9.7,20.2,3.2,9.8,6.4,14.04,26.4,0.9
2018,223,JaMychal Green,MEM,55,28,0.53,11.4,11,17,10.8,24.4,17.4,14,57.5,1.9
