Season,TEAM,W,L,WIN_RATIO,MIN,PTS,FGM,FGA,FG_PCT,Three_PM,Three_PA,Three_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus_Minus,PTS_OFF_TO,Second_Points,FBPS,PITP,OPPO_PTS_OFF_TO,OPPO_Second_Points,OPPO_FBPS,OPPO_PITP
2018,CHI,27,55,0.329,48.4,102.9,38.7,88.8,43.5,11,31.1,35.5,14.6,19.2,75.9,9.6,35,44.7,23.5,14,7.6,3.5,5.2,19.2,17.4,-7,15.0,11.2,11.8,41.8,16.3,11.2,11.3,44.5
2018,ORL,25,57,0.305,48.1,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19,-4.8,15.6,10.9,12.6,45.6,17,12.8,12.9,48.3
2018,DAL,24,58,0.293,48.3,102.3,38.1,85.9,44.4,11.8,32.8,36,14.2,18.7,76.3,8.1,33.1,41.3,22.7,12.3,7,3.8,4.5,19.2,19.6,-3,14.7,10.4,10.0,38.8,13.9,11.4,14.3,42.2
2018,ATL,24,58,0.293,48.1,103.4,38.2,85.5,44.6,11.2,31,36,15.8,20.2,78.5,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,-5.5,17.8,12.0,10.4,41.3,17.9,12.9,13,44.4
2018,MEM,22,60,0.268,48.1,99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31,40.5,21.5,15,7.5,4.8,5.1,23.2,20.4,-6.2,17.1,11.7,13.2,42.3,17.3,11.8,14.3,42.1
2018,PHX,21,61,0.256,48.1,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,15.7,6.9,4.5,6,22,20.9,-9.4,15.0,12.9,14.4,46.1,18.6,13.2,14.6,47.1
2017,GS,67,15,0.817,48.2,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,19.3,12.6,22.6,46.6,16.7,14,14.4,45.4
2017,SA,61,21,0.744,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22,79.7,10,33.9,43.9,23.8,13.4,8,5.9,4.1,18.3,19.8,7.2,17.3,13.0,12.1,39.6,14.7,12.4,12.6,40.8
2017,HOU,55,27,0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5,19.9,20.4,5.8,18.7,14.3,16.7,46.7,17.5,13.8,14.3,49
2017,BOS,53,29,0.646,48.2,108,38.6,85.1,45.4,12,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6,16.4,11.2,12.4,41.8,15.2,13.9,12.2,43.2
2017,UTAH,51,31,0.622,48.2,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5,3.8,18.8,20.2,3.9,14.7,11.0,8.1,42.8,15.2,10.7,10.5,41
2017,TOR,51,31,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2,17.4,13.5,12.2,43.8,14.9,13.1,11.5,41.7
2017,CLE,51,31,0.622,48.5,110.3,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4,4.3,18.1,20.6,3.2,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5
2017,LAC,51,31,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9,34,43,22.5,13,7.5,4.2,3.1,19.8,22.4,4.3,15.3,11.3,13.9,39.9,15.2,12.7,14.3,42.7
2017,WSH,49,33,0.598,48.4,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8,17.7,13.0,15.9,45.0,16.4,13.8,12.1,43.9
2017,OKC,47,35,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21,15,7.9,5,5.5,20.9,20.7,0.8,15.6,14.8,16.9,49.9,16.9,12.2,11.1,47.5
2017,MEM,43,39,0.524,48.5,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,12.9,8,4.2,5,22.4,20.8,0.5,16.1,13.0,10.2,40.5,14.8,11.5,14.6,37.8
2017,ATL,43,39,0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9,16.3,13.5,12.1,42.7,17.4,13.2,12.8,39.1
