season,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2015,BKN,38.4,84.3,45.6,8.5,23.7,35.8,15.6,21.3,73.1,11.4,32.9,44.3,23.7,13.9,7.8,4.5,4.1,20,19.3,100.9,2.9
2015,MIA,36.1,79.5,45.4,8.1,23,35.3,17,23.2,73,10.9,30.1,41.0,21.3,14.8,7.9,4.4,4.5,20.9,20,97.3,2.6
2015,CHA,36.8,83.7,44,7.9,22.1,35.7,15.8,20.4,77.2,8.9,35.2,44.1,22.1,12.6,6.1,5.4,5.5,20.8,18.2,97.3,3.2
2015,DET,37.9,83.1,45.6,7.7,21.8,35.5,16,20.7,77.2,10.7,33.4,44.1,23.8,14.0,7.0,4.8,4.7,19.3,19,99.5,1
2015,DEN,38.6,84.3,45.8,7.7,22.2,34.6,20.1,26.9,74.8,11.0,34.1,45.1,23.1,14.4,7.5,6.1,4.5,20.7,23,105.0,3.5
2015,SAC,39.5,86.5,45.6,8.8,25.1,34.9,17.3,23.1,74.8,11.0,30.2,41.2,23.3,12.9,8.7,6.2,4.0,23.9,20.7,105.0,3.7
2015,ORL,38,82,46.3,8.3,22.6,36.8,17.2,22.9,75.1,10.1,33.4,43.5,23.4,14.5,7.7,5.4,3.8,17.9,20.9,101.4,5.7
2015,LAL,38.8,83.1,46.6,8.5,23.4,36.3,19.2,25.8,74.5,10.0,34.1,44.2,24.0,13.0,7.5,4.8,4.5,19.4,21.2,105.3,6.8
2015,PHI,37.1,82.7,44.9,8,22.9,35,18.7,24.7,75.6,11.5,34.8,46.3,23.7,16.8,9.5,5.5,5.9,20.2,21.7,101.0,9
2015,NY,37,80.4,46,8.5,22.3,38,18.8,24.8,75.9,11.0,32.5,43.5,21.7,14.1,8.0,4.3,4.7,19.1,21.6,101.2,9.3
2015,MIN,41.1,84.5,48.7,8.5,23.1,36.7,15.8,20.8,75.9,11.6,31.9,43.6,23.6,15.2,8.4,5.5,4.0,21.4,19.2,106.5,8.8
2014,SA,37.8,85.1,44.4,6.5,18.3,35.3,15.7,20.6,76,10.5,31.7,42.2,20.4,13.9,7.7,4.6,5.1,19.3,18.2,97.6,-7.7
2014,OKC,36.4,83.4,43.6,8.6,24,35.8,18.4,25.4,72.7,11.0,30.0,40.9,21.8,15.2,8.2,3.6,6.1,20.4,22.7,99.8,-6.3
2014,LAC,37.4,84.9,44.1,7.3,21.8,33.2,18.9,25,75.5,12.3,31.4,43.7,23.3,15.4,7.0,3.5,4.8,23.4,21.5,101.0,-7
2014,IND,34.8,82.7,42,6.6,19,34.5,16.3,21.6,75.5,10.4,30.7,41.2,18.6,13.7,7.2,4.6,5.4,21.9,20.4,92.3,-4.4
2014,MIA,36.1,79,45.7,8.5,23.4,36.2,16.8,22.3,75,10.8,29.5,40.3,21.4,16.7,8.1,3.1,4.5,20.4,19.5,97.4,-4.8
2014,POR,39.6,87.8,45.1,6.5,18.3,35.5,17,22.2,76.6,11.5,32.0,43.5,20.4,12.0,7.8,3.7,4.7,20.7,19.2,102.8,-4
2014,HOU,39,88,44.3,8.1,23,35.3,17,22.5,75.7,11.9,29.7,41.7,22.2,14.0,8.6,5.6,5.6,24.3,20.4,103.1,-4.6
2014,GS,36.8,84.4,43.6,6.9,20.2,34.4,18.9,24.7,76.5,10.7,32.6,43.3,20.5,15.0,7.9,4.2,5.0,19.3,21.8,99.5,-4.8
2014,MEM,35.7,79.3,45,7.5,21.1,35.5,15.8,20.6,76.6,9.9,29.3,39.2,19.9,14.2,7.2,5.0,4.6,18.9,19.1,94.6,-1.6
2014,DAL,37.8,81.4,46.4,8.3,23,35.9,18.7,24.6,75.8,11.5,31.3,42.8,22.0,16.0,7.7,3.5,4.3,19.9,20,102.4,-2.4
2014,TOR,36.1,80.2,45,6.9,19.2,36,19,25.3,75.2,10.4,30.5,41.0,21.0,14.9,7.3,4.3,4.2,22.1,23,98.0,-3.2
2014,CHI,35,81.2,43,6.6,18.7,35.1,15.3,20.3,75.3,10.7,30.6,41.3,19.6,14.4,7.6,6.0,5.2,20.9,19.1,91.8,-1.9
2014,PHX,38,83.4,45.6,6.8,19.9,34.1,19.8,25.8,76.6,11.3,31.5,42.8,20.3,15.3,7.5,4.0,4.6,21.3,21.9,102.6,-2.6
2014,WSH,37,80.9,45.8,7.5,21.5,34.7,17.8,23.3,76.5,10.1,32.1,42.2,22.2,16.0,7.7,3.9,4.6,19.5,20.4,99.4,-1.3
2014,BKN,36.3,79.4,45.8,8.1,22,36.7,18.8,24.7,76,11.2,31.6,42.9,21.0,15.8,7.4,4.1,3.8,20.8,21.7,99.5,1
2014,CHA,36.9,83.4,44.2,8.1,22,36.9,15.3,20.1,75.9,9.6,33.7,43.3,21.0,13.3,6.3,5.1,5.1,20.9,18.2,97.1,0.2
2014,MIN,40.5,86,47.1,8.1,22.2,36.4,15.2,20.1,75.6,11.1,33.1,44.2,22.9,16.4,7.9,5.6,3.6,23.6,18.3,104.3,-2.7
2014,ATL,38.6,83.5,46.2,8,21.9,36.5,16.4,21.9,74.8,10.8,32.8,43.5,23.2,15.2,8.2,4.3,4.0,20,19.2,101.5,0.5
2014,NY,35.8,78.1,45.8,8.7,23.4,37.1,19.1,25,76.5,10.3,31.7,42.0,19.7,14.5,6.3,3.4,4.5,19.6,22.1,99.4,0.8
2014,DEN,39.5,86.4,45.7,7.4,21,35.1,20.2,26.4,76.3,11.3,32.5,43.8,22.5,14.4,8.5,5.6,5.6,21.7,23,106.5,2.1
2014,NO,37.3,80.1,46.5,8,22.3,35.7,20,26.5,75.2,10.7,31.0,41.7,22.5,14.5,7.0,6.1,6.4,20.3,22.6,102.4,2.7
2014,CLE,37.8,83.5,45.2,9.3,25.4,36.7,16.6,22,75.7,10.3,32.3,42.5,24.8,14.0,7.2,5.6,3.7,19.5,20,101.5,3.3
2014,DET,39.1,83.2,47,8.3,22.8,36.5,18.1,24,75.6,11.1,31.9,43.0,24.4,15.0,8.2,4.9,4.8,20.7,20.3,104.7,3.7
2014,SAC,37.8,82.1,46.1,8.5,22.4,38,19.2,26.1,73.7,9.9,31.3,41.2,23.5,13.6,7.8,5.6,3.9,23.1,22.5,103.4,2.9
2014,LAL,42,89.6,46.8,8.1,22.5,36.1,17.2,23.7,72.7,13.0,36.0,49.0,25.8,14.2,9.6,4.7,5.4,19.3,19.8,109.2,6.3
2014,UTAH,38.3,81,47.3,7.3,19.4,37.6,18.3,23.7,77.3,10.3,32.2,42.5,21.8,12.6,7.5,4.9,4.5,20.4,20.7,102.2,7.2
2014,BOS,37.8,81.4,46.5,6.6,18.9,34.7,18.5,24.3,76.1,10.6,31.7,42.3,22.1,14.2,7.4,4.5,4.2,19.1,21.3,100.7,4.5
2014,ORL,38.1,83.7,45.6,8,21.7,37.1,17.7,22.9,77,10.5,33.5,44.0,22.5,14.0,7.1,5.4,4.3,18.3,20.5,102.0,5.4
2014,PHI,40,85.1,47.1,9,24.4,37,20.8,27.6,75.4,11.9,35.0,46.9,26.1,17.0,9.0,6.8,4.0,20.6,22.5,109.9,10.5
2014,MIL,38.4,82,46.8,8.5,22.3,38.2,18.4,24.5,75.1,11.7,31.8,43.5,22.8,14.1,7.8,5.0,4.9,20.6,20.9,103.7,8.2
