season,team,win_ratio,toe,new_toe
2015,OKC,0.549,0.437429537767756,0.487707261292167
2015,MIL,0.5,0.427272727272727,0.484597156398104
2015,BOS,0.488,0.429359823399558,0.482022471910112
2015,PHX,0.476,0.431111111111111,0.488649262202043
2015,IND,0.463,0.421658986175115,0.47893175074184
2015,UTAH,0.463,0.429090909090909,0.486621032980709
2015,BKN,0.463,0.432369942196532,0.480803307737744
2015,MIA,0.451,0.424607961399276,0.484924623115578
2015,CHA,0.402,0.41087962962963,0.455135773317591
2015,DET,0.39,0.429398148148148,0.48
2015,DEN,0.366,0.423766816143498,0.473386183465459
2015,SAC,0.354,0.426248548199768,0.476190476190476
2015,ORL,0.305,0.427594070695553,0.48032883147387
2015,LAL,0.256,0.426605504587156,0.4679005205321
2015,PHI,0.22,0.381221719457014,0.440697674418605
2015,NY,0.207,0.407665505226481,0.45643153526971
