Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,154,Jordan Crawford,81,23,0.516,22,10.5,22.4,1.7,9.4,5.5,14.4,108.2,3.6
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Klay Thompson,81,35.4,0.555,10.9,8.2,20.9,1.5,7.9,4.7,14.32,163.3,5.4
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,184,Andre Iguodala,63,32.4,0.57,29.9,11.4,13.5,2.9,12.6,7.8,13.71,97.7,3.3
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Draymond Green,82,21.9,0.498,20.1,12,14.3,5.3,19.3,12.4,12.73,59.8,2
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,263,Kent Bazemore,67,13.6,0.515,16.2,14.1,21.5,1.2,12.6,6.9,11.28,10.6,0.4
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,273,Steve Blake,55,27.2,0.508,39.3,13.1,12.1,0.9,10.4,5.7,11.01,0.2,0
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,297,Harrison Barnes,78,28.3,0.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,310,Toney Douglas,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,28,Mike Conley,73,33.5,0.545,25.3,8.6,24.7,2,8.4,5.2,20.07,331,11
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,53,James Johnson,52,18.4,0.552,21.2,12.6,19.7,7.4,13.2,10.3,18.5,99.9,3.3
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,58,Zach Randolph,79,34.2,0.51,11.6,10.6,24.6,11.6,23.3,17.4,18.37,277.4,9.2
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,60,Marc Gasol,59,33.4,0.526,18.8,9.7,21.2,5,20.5,12.7,18.27,225.4,7.5
2014,MEM,50,32,0.61,27-14,23-18,4-12,29-23,96.1,94.6,1.6,67,Jon Leuer,49,13.1,0.566,6.4,8.6,19.5,6.8,22.4,14.6,17.65,58.9,2
