Season,Player,position,age,Team,gp,gs,mpg,FG,FGa,FGp,3_PPG,3_PA,3_PP,2_PPG,2_PA,2_PP,FT,FTa,FTp,orb,drb,trb,ast,stl,blk,tov,PF,ppg
2014,Aaron Brooks,PG,29,HOU,43,0,16.7,2.4,6.1,0.395,1.3,3.1,0.409,1.2,3,0.382,0.9,1,0.841,0.5,0.9,1.4,1.9,0.6,0.1,1.2,1.8,7
2014,Aaron Brooks,PG,29,DEN,29,12,29,4.4,11,0.406,1.4,4,0.362,3,7,0.431,1.6,1.8,0.902,0.7,2,2.7,5.2,0.9,0.2,2.3,2.4,11.9
2014,MarShon Brooks,SG,25,,35,0,9,1.6,3.6,0.456,0.4,0.7,0.52,1.3,2.9,0.44,0.9,1.3,0.727,0.3,1.3,1.5,0.7,0.4,0.1,0.7,0.6,4.5
2014,MarShon Brooks,SG,25,BOS,10,0,7.3,0.9,2.4,0.375,0.2,0.4,0.5,0.7,2,0.35,1.1,1.4,0.786,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,3.1
2014,MarShon Brooks,SG,25,GS,7,0,2.1,0.7,1.9,0.385,0,0.3,0,0.7,1.6,0.455,0.4,0.6,0.75,0.1,0.6,0.7,0,0.1,0,0,0,1.9
2014,MarShon Brooks,SG,25,LAL,18,0,12.7,2.4,4.9,0.489,0.6,1.1,0.579,1.8,3.8,0.464,1,1.4,0.692,0.4,1.2,1.7,1.2,0.7,0.2,0.9,0.9,6.4
2014,Lorenzo Brown,PG,23,PHI,26,0,8.6,1,3.3,0.302,0.1,1.2,0.1,0.9,2.2,0.411,0.3,0.5,0.692,0.3,0.8,1.1,1.6,0.5,0.1,0.6,0.7,2.5
2014,Shannon Brown,SG,28,,29,1,8.7,0.8,2.3,0.364,0,0.1,0,0.8,2.2,0.375,0.5,0.7,0.714,0.2,0.7,1,0.3,0.4,0,0.6,0.8,2.2
2014,Shannon Brown,SG,28,SA,10,1,10.3,0.8,2.8,0.286,0,0.2,0,0.8,2.6,0.308,0.7,0.9,0.778,0.1,1.2,1.3,0.5,0.1,0,0.8,1.2,2.3
2014,Shannon Brown,SG,28,NY,19,0,7.8,0.8,2,0.421,0,0,,0.8,2,0.421,0.4,0.6,0.667,0.3,0.5,0.8,0.2,0.6,0,0.5,0.6,2.1
2014,Kobe Bryant,SG,35,LAL,6,6,29.5,5.2,12.2,0.425,0.5,2.7,0.188,4.7,9.5,0.491,3,3.5,0.857,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5,13.8
