Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Lavoy Allen,65,16.5,0.47,16.2,10.1,16.1,11.7,20,15.7,12.52,16.3,0.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,267,Evan Turner,81,30.3,0.498,16.5,11.9,18.5,2.7,15.7,9.1,12.43,70.9,2.4
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,276,Rasual Butler,50,7.6,0.585,11.8,7.6,14.3,1.9,9.9,6.1,12.23,9.8,0.3
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,327,Danny Granger,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Ian Mahinmi,77,16.2,0.538,7.2,17.3,10.4,10.1,12.9,11.6,10.18,-7.9,-0.3
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Donald Sloan,48,8.2,0.437,25.3,11.1,17,1.2,10.9,6.3,8.5,-14.7,-0.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Solomon Hill,28,8.1,0.545,17.6,19.1,10.8,4.7,15.2,10.2,7.62,-9.7,-0.3
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,442,Orlando Johnson,45,8.7,0.402,12.5,9.4,14.8,2.7,12.7,7.9,5.34,0,0
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,1,DeAndre Liggins,1,1,1,0,0,41.3,130.5,0,62.8,129.47,0,0
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,4,LeBron James,77,37.7,0.649,20.6,11.4,29.1,3.6,18.9,11.5,29.4,818.5,27.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,20,Dwyane Wade,54,32.9,0.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,,Chris Bosh,79,32,0.597,6.8,9.7,20,5.1,20.3,13,19.11,321.5,10.7
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,57,Chris Andersen,72,19.4,0.683,4.5,12.6,12.1,12.1,21.7,17.1,18.56,147,4.9
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,90,Michael Beasley,55,15.1,0.559,8.4,11.7,22.9,4.9,20.5,13,16.8,78.2,2.6
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,137,James Jones,20,11.8,0.666,10.5,4.7,14,1.1,10.8,6.1,15.47,17.5,0.6
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,184,Mario Chalmers,73,29.8,0.567,31,14.1,17.3,2.5,9.6,6.2,14.06,99.6,3.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,241,Ray Allen,73,26.5,0.59,17.4,10.2,15.5,1.6,11.4,6.7,12.83,67.4,2.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,269,Greg Oden,23,9.2,0.567,1.4,16.6,13.9,14.2,17.7,16,12.4,5.7,0.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,287,Justin Hamilton,8,9,0.586,0,15.3,15.3,7.2,5,6.1,11.91,1.4,0
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,334,Rashard Lewis,60,16.2,0.535,16.6,10.2,13,3.2,10.7,7.1,10.74,-11,-0.4
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,337,Udonis Haslem,46,14.2,0.523,6.4,11.9,12.3,8.4,24.7,16.8,10.57,-9.1,-0.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,376,Toney Douglas,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,386,Norris Cole,82,24.6,0.497,27.4,14,15.2,1.1,8.6,5,8.8,-66,-2.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,390,Shane Battier,73,20.1,0.523,17.1,5.7,9.2,3,8.6,5.9,8.7,-39.5,-1.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,400,Roger Mason Jr.,25,10.4,0.528,19.4,9.2,13.6,0.5,9.8,5.3,8.19,0,0
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,403,Joel Anthony,33,5.6,0.394,4.9,7.4,8.4,9.2,14.6,11.8,8.14,-6.8,-0.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,16,James Harden,73,38,0.618,20.2,12,26.8,2.6,10.7,6.9,23.51,539.2,18
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,24,Dwight Howard,71,33.7,0.6,9.1,15.9,22,11.4,27.9,20.1,21.36,384.8,12.8
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,43,Terrence Jones,76,27.3,0.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,236.9,7.9
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,120,Troy Daniels,5,15,0.677,12.8,7.7,18.5,0,5.6,3,16.01,6.2,0.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,123,Chandler Parsons,74,37.6,0.565,19.5,9.4,18.6,2.9,12.8,8.2,15.9,224.3,7.5
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,154,Robert Covington,7,4.9,0.571,0,6.7,17.2,6.9,9.3,8.2,15.06,2.3,0.1
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,176,Jeremy Lin,71,28.9,0.572,23.5,14.1,20,2,7.8,5.1,14.31,101.4,3.4
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,,Omer Asik,48,20.2,0.57,7.6,17.9,12.6,12.3,30.1,21.7,14.05,49.8,1.7
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,203,Greg Smith,11,9.1,0.629,0,14.2,13.7,13,16.8,15,13.74,3.3,0.1
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,239,Omri Casspi,71,18.1,0.528,14.1,11.5,17.2,5.1,16.8,11.3,12.91,46.2,1.5
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,248,Jordan Hamilton,60,17,0.507,10.5,9.3,17.5,3.5,17,10.4,12.75,34.2,1.1
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,262,Aaron Brooks,72,21.6,0.518,24,12,20.8,3.1,6.7,4.9,12.51,35,1.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,,Patrick Beverley,56,31.3,0.545,20.3,8.9,14.3,4.9,7.4,6.2,12.43,37.4,1.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,333,Donatas Motiejunas,62,15.4,0.504,8.1,11.6,16.3,7.4,18.2,13.1,10.76,-10.5,-0.4
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,366,Isaiah Canaan,22,11.5,0.506,15.4,14.7,19.8,3.3,7.1,5.3,9.57,-5.4,-0.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,373,Francisco Garcia,55,19.7,0.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6
